slug,name,country,birthdate,ytId,youtube,instagram,tiktok,x,website
d-low,D-Low,UK,1998-10-10,DFk6aVSWo7s,https://www.youtube.com/@Dlowmusic,https://www.instagram.com/dlowmusic/,https://www.tiktok.com/@dlowmusic,https://x.com/dlowofficially,http://www.danlowes.com/
napom,NaPoM,USA,1996-08-09,YYKMoZnuTJE,https://www.youtube.com/@NaPoMBeatbox,https://www.instagram.com/napom_official/,https://www.tiktok.com/@napom_official,https://x.com/lifeisnapom,https://napombeatbox.com/
so-so,SO-SO,Japan,1999-10-13,XoicaHc5m4M,https://www.youtube.com/@SOSObeatbox,https://www.instagram.com/sosobeatbox/,,,https://x.com/SO_SO_LOOPER
showgo,SHOW-GO,Japan,1999-05-07,eg9_ymCEAF8,https://www.youtube.com/@SHOWGO,https://www.instagram.com/showgoxkaix/,https://www.tiktok.com/@showgoxkaix,https://x.com/showgo_beatbox,
wing,WING,South Korea,1994-08-21,qlrpeYdm9Ec,https://www.youtube.com/@wing7ackpot,https://www.instagram.com/wing7ackpot/,,, 
hiss,Hiss,South Korea,1999-02-07,OTlkpNmQq_s,https://www.youtube.com/@HissBeatbox,https://www.instagram.com/beatboxhiss/,,https://twitter.com/beatbox_hiss,
codfish,Codfish,Australia,1998-03-27,6TQh-p4gWB8,https://www.youtube.com/@CodfishBeatbox,https://www.instagram.com/codfishbeatbox/,https://www.tiktok.com/@codfishbeatbox,https://x.com/CodfishBeatbox,
tom-thum,Tom Thum,Australia,1985-04-02,GNZBSZD16cY,https://www.youtube.com/@TomThumBeatbox,https://www.instagram.com/tomthummer/,https://www.tiktok.com/@tomthummer,https://x.com/tomthummer,https://tomthummer.com/
reeps-one,Reeps One,UK,1989-11-18,YH5ty3Kucz4,https://www.youtube.com/@Reepsone,https://www.instagram.com/reepsone/,,https://x.com/Reeps1,https://reeps100.com/
mb14,MB14,France,1994-06-19,d_LZraAzH-E,https://www.youtube.com/@MB14BEATBOX,https://www.instagram.com/mb14off/,https://www.tiktok.com/@mb14off,, 
